Month,Year,Type,Country,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species
Oct,1985,Unprovoked,South Africa,East London,Body boarding,M,22,"Left leg severely lacerated, superficial lacerations of right leg,  board damaged",N,08h00,White shark
Oct,1985,Unprovoked,USA,"Point Conception, Santa Barbara County",Hookah diving for abalone,M,46,Minor injury to foot & ankle,N,16h00,Sevengill shark
Oct,1985,Unprovoked,USA,"Little Glass Shacks, Princeville, Kaua'i",Body boarding,M,33,"Right hand and part of forearm severed , left hand lacerated, right anterior side of board removed by shark",N,,Tiger shark
Oct,1985,Unprovoked,USA,"Barbers Point, O'ahu",Floating on inner tube after diving for lobster,M,24,Left arm lacerated,N,,
Sep,1985,Unprovoked,USA,"Palm Beach, Palm Beach County",Scuba diving,M,,Laceration and 4 puncture wounds to left hand,N,15h00,Silky shark
Sep,1985,,USA,"Fort Pierce Inlet, St Lucie County",Swimming,M,17,Found to be a hoax,,Afternoon,
Aug,1985,,USA,"New Smyrna Beach, Volusia County",Wading,M,11,"3"" wound on thigh",,13h00,
Aug,1985,,USA,"Bayport, Hernando County",Scuba diving,M,67,Body not recovered. 3 days later some of his equipment was found on seabed appeared damaged by a shark ,,10h30,
Jul,1985,Unprovoked,USA,"Daytona Beach, Volusia County",Wading,F,13,Right calf bitten,N,17h00,Hammerhead shark
Jul,1985,Unprovoked,USA,"New Smyrna Beach, Volusia County",Surfing,M,15,Hand bitten,N,10h22,
Jul,1985,Unprovoked,USA,"Folly Beach, Charleston County",Playing in knee-deep water,F,10,2/3rd of left calf removed,N,,Tiger shark
May,1985,Provoked,South Africa,Umdhloti,Spearfishing,M,39,"After diver shot shark attempting to take his catch, shark bit right arm & tore wetsuit  PROVOKED INCIDENT",N,,
Mar,1985,Unprovoked,Australia,"Wisemans Beach, Peake Bay, Port Lincoln",Free diving for scallops,F,33,FATAL,Y,12h30,White shark
Feb,1985,Unprovoked,USA,"San Miguel Island, Santa Barbara County",Scuba Diving for lobster (at surface),M,29,Bruised,N,12h45,White shark
Feb,1985,Unprovoked,USA,"15 miles north of Sebastian Inlet, Brevard County",Surfing,M,16,Right foot bitten,N,Afternoon,
Jan,1985,Unprovoked,South Africa,Struisbaai,Swimming,M,15,"Right knee, calf and ankle lacerated",N,18h30,Raggedtooth shark
Jan,1985,Unprovoked,South Africa,Umbogintwini,Surfing,M,18,Thigh & calf bitten,N,18h30,White shark
Jan,1985,Unprovoked,South Africa,"Buffels Bay, False Bay",Spearfishing,M,34,Minor injury to torso,N,11h30,White shark
Nov,1984,Unprovoked,Australia,1 km off Black's Beach,Sailing on catamaran & fell into the water,M,16,FATAL,Y,12h33,Tiger shark
Nov,1984,Unprovoked,USA,"Jupiter Island Beach, Martin County",Surfing,M,13,Left foot bitten,N,,
Nov,1984,Provoked,USA,"Fowey Rock, Key Biscayne",Spearfishing,M,29,"Speared shark bit diver's right knee, and lacerated right thigh & buttocks PROVOKED INCIDENT",N,,Small shark
Oct,1984,,USA,"Wabasso Beach, Indian River County",Swimming,M,22,"Disappeared, 1 mile from where Sandra Fletcher was bitten. Death was due to drowning",,14h00,
Oct,1984,Unprovoked,USA,"3 miles south of Sebastian Inlet State Park, Indian River County",Surfing or body surfing,F,23,"9"" laceration to right forearm ",N,13h30,
